Artist,Track,Album,Album_type,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Adele,Love In The Dark,25,album,4.765583333,Adele - Love In The Dark,Adele Live Performance,1767482,35775,687,FALSE,FALSE,345671408,3.128440367,Spotify
Adele,When We Were Young,25,album,4.848333333,Adele - When We Were Young (Live at The Church Studios),AdeleVEVO,652035959,3380740,92823,TRUE,TRUE,1019157251,6.263157895,Spotify
Adele,Skyfall,Skyfall,single,4.774666667,Adele - Skyfall (Lyric Video),AdeleVEVO,521616925,3247366,107904,TRUE,TRUE,351150894,4.842105263,Youtube
Adele,I Drink Wine,30,album,6.269483333,Adele - I Drink Wine (Official Video),AdeleVEVO,25478998,717804,20000,TRUE,TRUE,151935537,4.74789916,Spotify
Adele,Make You Feel My Love,19,album,3.534,Adele - Make You Feel My Love (Official Video),XL Recordings,183837529,630517,27851,TRUE,TRUE,882417588,1.638095238,Spotify
"Tyler, The Creator",See You Again (feat. Kali Uchis),Flower Boy,album,3.00645,SEE YOU AGAIN featuring Kali Uchis,"Tyler, The Creator",92712467,1701541,43935,FALSE,TRUE,735335457,5.128440367,Spotify
"Tyler, The Creator",NEW MAGIC WAND,IGOR,album,3.255333333,NEW MAGIC WAND,"Tyler, The Creator",4297845,234428,7974,FALSE,TRUE,364387853,1.084695394,Spotify
"Tyler, The Creator",EARFQUAKE,IGOR,album,3.167783333,EARFQUAKE,"Tyler, The Creator",129012852,2685472,94169,FALSE,TRUE,709846048,0.626415094,Spotify
"Tyler, The Creator",ARE WE STILL FRIENDS ,IGOR,album,4.424666667,0,0,0,0,0,0,0,235510214,4.477477477,Spotify
"Tyler, The Creator",BEST INTEREST,BEST INTEREST,single,2.132016667,BEST INTEREST,"Tyler, The Creator",26666213,716798,36850,FALSE,TRUE,251085348,1.721556886,Spotify
"Tyler, The Creator","GONE, GONE / THANK YOU",IGOR,album,6.25645,"Tyler the Creator - Gone, gone / Thank you [LYRICS]",Tyler the Creator,2496247,43090,950,FALSE,TRUE,278404020,3.369863014,Spotify
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,album,2.026216667,"Tyler, The Creator - WUSYANAME (Lyrics) ft. YoungBoy Never Broke Again & Ty Dolla $ign",FutureHype,2012615,41394,1247,FALSE,FALSE,210423821,1.277886497,Spotify
"Tyler, The Creator",Cash In Cash Out,Cash In Cash Out,single,3.602266667,"Pharrell Williams - Cash In Cash Out (Official Video) ft. 21 Savage, Tyler, The Creator",PharrellWilliamsVEVO,20392759,560865,16545,TRUE,TRUE,104603335,6.674612634,Spotify
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),CALL ME IF YOU GET LOST,album,9.802316667,SWEET / I THOUGHT YOU WANTED TO DANCE (Audio),"Tyler, The Creator",16424537,300606,9201,FALSE,TRUE,139808607,1.185454545,Spotify
"Tyler, The Creator",She,Goblin,album,4.223116667,Tyler The Creator - She (feat. Frank Ocean),OFWGKTA,78486528,628195,47513,FALSE,FALSE,221383556,1.013050571,Spotify
Lady Gaga,Bloody Mary,Born This Way (Special Edition),album,4.079333333,LADY GAGA - BLOODY MARY [MUSIC VIDEO],Ruben Samuel Cortez,28215882,349470,17013,FALSE,FALSE,208978461,5.637168142,Spotify
Lady Gaga,Shallow,A Star Is Born Soundtrack,album,3.59555,"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",LadyGagaVEVO,1410151988,7651912,194743,TRUE,TRUE,2004338878,1.666666667,Spotify
Lady Gaga,Bad Romance,The Fame Monster (Deluxe Edition),album,4.90955,Lady Gaga - Bad Romance (Official Music Video),LadyGagaVEVO,1651059028,8283806,880618,TRUE,TRUE,879720666,10.93824228,Youtube
